id,class
0,0
1,0
2,1
3,1
4,0
5,0
6,1
7,1
8,1
9,1
10,1
11,1
12,0
13,1
14,0
15,1
16,1
17,0
18,1
19,0
20,0
21,0
22,0
23,1
24,0
25,1
26,1
27,0
28,1
29,1
30,1
31,0
32,0
33,1
34,1
35,1
36,1
37,1
38,0
39,1
40,1
41,0
42,1
43,0
44,0
45,0
46,1
47,0
48,1
49,0
50,1
51,0
52,1
53,1
54,0
55,0
56,1
57,0
58,1
59,1
60,0
61,1
62,0
63,0
64,0
65,1
66,1
67,0
68,0
69,1
70,0
71,0
72,0
73,1
74,1
75,0
76,1
77,1
78,1
79,1
80,0
81,1
82,0
83,1
84,1
85,0
86,0
87,1
88,0
89,0
90,1
91,1
92,1
93,0
94,0
95,0
96,1
97,0
98,0
99,1
100,1
101,1
102,1
103,0
104,0
105,0
106,1
107,0
108,1
109,1
110,1
111,0
112,1
113,0
114,0
115,0
116,1
117,0
118,1
119,0
120,0
121,0
122,1
123,0
124,0
125,1
126,0
127,1
128,1
129,1
130,0
131,1
132,0
133,1
134,0
135,0
136,0
137,0
138,1
139,1
140,0
141,0
142,0
143,1
144,0
145,0
146,1
147,0
148,0
149,0
150,1
151,0
152,1
153,0
154,1
155,0
156,0
157,1
158,0
159,0
160,0
161,1
162,1
163,0
164,0
165,0
166,1
167,1
168,0
169,0
170,1
171,0
172,0
173,0
174,0
175,1
176,1
177,0
178,1
179,0
180,1
181,1
182,1
183,1
184,1
185,0
186,1
187,1
188,0
189,1
190,1
191,1
192,0
193,0
194,0
195,1
196,1
197,1
198,1
199,0
200,1
201,1
202,1
203,1
204,0
205,1
206,0
207,1
208,0
209,1
210,0
211,1
212,0
213,1
214,0
215,1
216,0
217,0
218,1
219,1
220,0
221,0
222,0
223,1
224,0
225,1
226,1
227,0
228,1
229,0
230,0
231,1
232,0
233,0
234,1
235,1
236,0
237,1
238,1
239,0
240,0
241,0
242,1
243,1
244,0
245,1
246,0
247,1
248,0
249,1
250,1
251,0
252,0
253,0
254,1
255,0
256,1
257,1
258,1
259,1
260,0
261,1
262,0
263,1
264,1
265,1
266,0
267,0
268,1
269,0
270,1
271,0
272,0
273,0
274,1
275,0
276,0
277,1
278,0
279,1
280,0
281,1
282,0
283,0
284,1
285,0
286,0
287,0
288,1
289,1
290,1
291,0
292,1
293,1
294,1
295,0
296,1
297,0
298,0
299,0
300,0
301,0
302,0
303,1
304,1
305,0
306,0
307,0
308,1
309,1
310,0
311,0
312,0
313,1
314,1
315,0
316,1
317,1
318,1
319,1
320,1
321,1
322,1
323,0
324,1
325,1
326,0
327,0
328,1
329,1
330,0
331,0
332,0
333,1
334,1
335,1
336,1
337,0
338,0
339,1
340,0
341,1
342,0
343,1
344,0
345,0
346,0
347,0
348,1
349,0
350,0
351,0
352,1
353,1
354,1
355,0
356,0
357,0
358,0
359,0
360,0
361,1
362,0
363,1
364,1
365,0
366,0
367,1
368,1
369,0
370,0
371,0
372,1
373,0
374,1
375,1
376,1
377,0
378,1
379,1
380,1
381,0
382,0
383,0
384,0
385,1
386,1
387,0
388,1
389,1
390,1
391,0
392,1
393,0
394,1
395,0
396,0
397,0
398,1
399,1
400,0
401,0
402,0
403,1
404,1
405,0
406,0
407,0
408,0
409,1
410,1
411,0
412,1
413,1
414,1
415,1
416,0
417,1
418,0
419,0
420,1
421,1
422,0
423,1
424,0
425,1
426,1
427,1
428,1
429,1
430,1
431,1
432,0
433,1
434,0
435,0
436,1
437,1
438,0
439,1
440,0
441,1
442,1
443,1
444,1
445,1
446,0
447,1
448,0
449,0
450,0
451,0
452,0
453,0
454,1
455,1
456,1
457,1
458,0
459,0
460,0
461,0
462,0
463,1
464,0
465,1
466,1
467,1
468,1
469,1
470,1
471,0
472,0
473,1
474,1
475,1
476,1
477,0
478,1
479,0
480,0
481,1
482,1
483,1
484,0
485,0
486,1
487,1
488,1
489,1
490,1
491,0
492,0
493,1
494,0
495,1
496,1
497,0
498,0
499,1
500,0
501,1
502,0
503,1
504,1
505,1
506,0
507,1
508,1
509,1
510,0
511,1
512,0
513,1
514,0
515,1
516,0
517,1
518,0
519,0
520,1
521,0
522,0
523,1
524,0
525,1
526,0
527,0
528,1
529,0
530,0
531,1
532,0
